Classification Level,Count
Enterococcus faecium,3164
Lactobacillus reuteri,433
Rhizobium leguminosarum,557
Candidatus Sulcia muelleri,390
Klebsiella pneumoniae,5472
Corynebacterium pseudotuberculosis,288
Bacillus subtilis,5780
Bradyrhizobium elkanii,260
Staphylococcus aureus,5752
Gluconobacter oxydans,79
Prevotella intermedia,93
Bacillus licheniformis,2683
Yersinia enterocolitica,316
Streptococcus pneumoniae,7825
Bacillus sp. (in: Bacteria),4220
Vibrio parahaemolyticus,1339
Citrobacter freundii,718
Exiguobacterium profundum,84
bacterium,1199
Serratia marcescens,1314
Campylobacter coli,938
Vibrio alginolyticus,618
Bacillus safensis,766
Listeria monocytogenes,2756
Streptococcus salivarius,198
Streptococcus pyogenes,790
Pseudomonas aeruginosa,4827
Bacillus cereus,4594
Cylindrospermopsis raciborskii,59
Microbacterium oxydans,276
Neisseria meningitidis,1882
Streptococcus equi,295
Staphylococcus vitulinus,24
Bradyrhizobium liaoningense,52
Lactobacillus plantarum,4565
Acinetobacter baumannii Naval-17,40
Escherichia coli,9060
Lactobacillus fermentum,2270
Lactococcus garvieae,479
Serratia nematodiphila,102
Bacillus aryabhattai,1030
Mycobacterium tuberculosis,3798
Fusobacterium necrophorum subsp. funduliforme,53
Pseudomonas trivialis,55
Streptomyces bungoensis,20
Pasteurella multocida,426
Salmonella enterica,1803
Burkholderia cenocepacia,486
Dickeya chrysanthemi,167
Staphylococcus lentus,113
Ensifer americanus,22
Treponema pallidum subsp. pallidum (syphilis treponeme),94
Raoultella ornithinolytica,235
Bacillus oceanisediminis,136
Actinomyces radicidentis,20
Acinetobacter lwoffii,321
Pantoea agglomerans,782
Flavobacterium psychrophilum,206
Anoxybacillus flavithermus,73
Bacillus pumilus,2196
Aeromonas hydrophila,1101
Listeria innocua,106
Bacillus sonorensis,186
Streptococcus agalactiae,1548
Xanthomonas oryzae pv. oryzae,240
Nocardia nova,98
Pseudomonas plecoglossicida,265
Streptomyces avidinii,96
Lactobacillus parabuchneri,101
Exiguobacterium indicum,62
Cronobacter sakazakii,780
Pseudomonas rhodesiae,97
Streptomyces fradiae,89
Pseudomonas putida,1534
Lactococcus lactis,2196
Chlamydia muridarum str. Nigg,26
Rahnella aquatilis,210
Geobacillus thermodenitrificans,230
Photobacterium damselae,130
Lactobacillus helveticus,1467
Brucella melitensis,621
Ensifer medicae,188
Lysinibacillus macroides,99
Enterobacter hormaechei subsp. xiangfangensis,129
Vibrio furnissii,51
Lactobacillus sakei,409
Ponticoccus sp. (in: Proteobacteria),58
Streptomyces lavendulae,70
Enterococcus faecalis,1864
Pediococcus acidilactici,334
Clostridioides difficile,2171
Bradyrhizobium japonicum,420
Bacillus clausii,169
Campylobacter jejuni,1599
Vibrio cholerae,811
Salmonella enterica subsp. enterica serovar Typhimurium,671
Lactobacillus rhamnosus,444
Prevotella bivia,42
Xanthomonas euvesicatoria,128
Staphylococcus pasteuri,222
Arthrobacter ramosus,40
Oxalobacter formigenes,21
Stenotrophomonas maltophilia,1515
Geobacillus kaustophilus,68
Coconut lethal yellowing phytoplasma,83
Enterococcus durans,1279
Salmonella enterica subsp. enterica serovar Typhi,2849
Leuconostoc mesenteroides,1170
Oceanobacillus iheyensis,47
Paraburkholderia fungorum,87
Marinobacter algicola,78
Bacillus mycoides,498
Vibrio splendidus,182
Bacillus amyloliquefaciens,2015
Burkholderia cepacia,452
Streptococcus suis,1474
Listeria ivanovii,33
Pseudomonas oleovorans,204
Proteus mirabilis,540
Listonella anguillarum,277
Clavibacter michiganensis,176
Bacillus thuringiensis,1590
Pediococcus pentosaceus,640
Bacillus toyonensis,224
Pectobacterium carotovorum,401
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,361
Lactobacillus casei,992
Bacillus anthracis,999
Candidatus Phytoplasma cynodontis,64
Shigella flexneri,252
Pseudomonas sabulinigri,60
Morganella morganii,258
Salmonella enterica subsp. enterica serovar Paratyphi A,643
Bacillus megaterium,1935
Bordetella pertussis,1376
Paenibacillus polymyxa,535
Nocardia farcinica,101
Escherichia coli O157:H7,145
Anaplasma bovis,90
Pseudomonas koreensis,236
Paenibacillus mucilaginosus,54
Fructobacillus fructosus,68
Streptococcus dysgalactiae subsp. equisimilis,167
Lactobacillus kefiri,135
Aeromonas caviae,323
Photorhabdus luminescens,87
